目录,文件,GENERAL,ZERO_DISORDER,ZERO_NUM,ZERO_RESULT,当前顺序赢钱,当前顺序赢分,当前顺序中奖项,列内打乱后可能赢钱_全列6格,全列6格可能中奖项,仅有效格打乱后可能赢钱,仅有效格可能中奖项
reel_config,mjwl_rand_ex_0.conf,1,0,1,1,否,0,,否,,否,
reel_config,mjwl_rand_ex_12.conf,1,0,1,1,否,0,,否,,否,
reel_config,mjwl_rand_ex_13.conf,1,0,1,1,否,0,,否,,否,
reel_config,mjwl_rand_ex_14.conf,1,0,1,1,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,1,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,2,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,3,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,4,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,5,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,6,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,7,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,8,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,9,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,10,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,11,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,12,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,13,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,14,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,15,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,16,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,17,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,18,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,19,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,20,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,21,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,22,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,23,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,24,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,25,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,26,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,27,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,28,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,29,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,30,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,31,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,32,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,33,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,34,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,35,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,36,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,37,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,38,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,39,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,40,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,41,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,42,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,43,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,44,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,45,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,46,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,47,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,48,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,49,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,50,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,51,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,52,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,53,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,54,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,55,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,56,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,57,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,58,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,59,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,60,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,61,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,62,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,63,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,64,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,65,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,66,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,67,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,68,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,69,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,70,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,71,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,72,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,73,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,74,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,75,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,76,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,77,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,78,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,79,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,80,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,81,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,82,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,83,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,84,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,85,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,86,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,87,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,88,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,89,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,90,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,91,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,92,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,93,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,94,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,95,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,96,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,97,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,98,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,99,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,100,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,101,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,102,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,103,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,104,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,105,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,106,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,107,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,108,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,109,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,110,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,111,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,112,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,113,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,114,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,115,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,116,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,117,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,118,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,119,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,120,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,121,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,122,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,123,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,124,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,125,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,126,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,127,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,128,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,129,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,130,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,131,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,132,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,133,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,134,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,135,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,136,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,137,否,0,,否,,否,
reel_config,mjwl_rand_ex_17.conf,1,0,200,138,否,0,,否,,否,
